CPUtime,Incumbent Runs
0.04993199999999831,2
0.06189099999999925,3
0.07489799999999924,4
0.08729699999999951,5
0.09880799999999823,6
0.14807599999999965,7
0.17232100000000017,8
0.1958769999999994,9
0.24880199999999952,10
0.2603559999999998,11
0.3617309999999989,12
0.3858479999999993,13
0.4073429999999991,14
0.49078599999999994,15
0.5733199999999989,16
0.624091,17
0.6384499999999989,18
0.6614579999999979,19
0.6728079999999981,20
0.6861769999999989,21
0.7551189999999988,22
0.7764799999999994,23
0.7967659999999999,24
0.8072319999999991,25
0.8756699999999995,26
0.9530250000000002,27
1.1504209999999997,28
1.1720450000000007,29
1.194475999999998,30
1.2051999999999996,31
1.2657139999999991,32
1.2794709999999991,33
1.4870699999999992,34
1.5074389999999998,35
1.7327559999999984,36
1.7711799999999993,37
1.8377579999999991,38
1.9841870000000004,39
2.047039999999999,40
2.058344999999999,41
2.0824849999999984,42
2.09277,43
2.1608099999999997,44
2.1732309999999995,45
2.1839460000000006,46
2.1957129999999996,47
2.3076489999999996,48
2.3204069999999994,49
2.3313760000000006,50
2.475828999999999,51
2.488752,52
2.5014339999999997,53
2.520384999999999,54
2.586806000000001,55
2.626721,56
2.7089,57
2.721665,58
2.745466999999998,59
2.7568709999999985,60
2.8315719999999995,61
2.843724,62
2.855568,63
2.874984999999999,64
2.96044,65
2.9713089999999998,66
3.1186050000000005,67
3.1288940000000007,68
3.139816999999999,69
3.150917999999999,70
3.1630839999999996,71
3.2335580000000004,72
3.2448159999999984,73
3.2585169999999994,74
3.268980000000001,75
3.279324000000001,76
