1: x2='7.5'
2: x2='2.951350303324359'
3: x2='13.01429308843553'
4: x2='8.87265355505327'
5: x2='8.744614858324594'
6: x2='3.4367105451016977'
7: x2='7.68346732675233'
8: x2='7.660055775240458'
9: x2='8.805988131906183'
10: x2='7.020451002661776'
11: x2='8.75636672111144'
12: x2='1.9333610043835785'
13: x2='8.778230352820971'
14: x2='4.083885605702998'
15: x2='13.653325283853638'
16: x2='2.3896838675868044'
17: x2='12.542464747877009'
18: x2='2.4285710308581243'
19: x2='7.96543012212492'
20: x2='2.3325719052502287'
21: x2='1.3890862674874904'
22: x2='8.70882127385838'
23: x2='0.907110216000005'
24: x2='10.761070658360662'
25: x2='2.5971860849682065'
26: x2='4.311222766955142'
27: x2='2.5619815080111157'
28: x2='8.613453239116886'
29: x2='2.562135877803055'
30: x2='1.9963338522203056'
31: x2='4.5108037883177845'
32: x2='8.268315404557738'
33: x2='2.5867802995870495'
34: x2='5.818476271859195'
35: x2='6.130203432463681'
36: x2='13.747548893374287'
37: x2='5.721946170510347'
38: x2='12.061288841295331'
39: x2='5.745186900538716'
40: x2='0.7833204152117068'
41: x2='5.7408260870454315'
42: x2='12.676291798715516'
43: x2='2.565070494089721'
44: x2='8.182661125696006'
45: x2='2.5650640597651013'
46: x2='3.052830677009333'
47: x2='2.4201062609711306'
48: x2='11.06170791743585'
49: x2='2.385962489567963'
50: x2='0.8737007240672212'
51: x2='12.623419462823962'
52: x2='0.8735830009165052'
53: x2='9.193810128097052'
54: x2='5.736865042137559'
55: x2='3.5047633406918632'
56: x2='0.901801755307407'
57: x2='0.31986735947010514'
58: x2='0.9002391650732716'
59: x2='13.24569936565572'
60: x2='0.7917093552748972'
61: x2='3.593949653892934'
62: x2='0.7838132409036425'
63: x2='7.053341065677583'
64: x2='0.8890864488879219'
65: x2='2.1261485666353064'
66: x2='9.092978308716551'
67: x2='0.8752506647092562'
68: x2='6.964533687649839'
69: x2='0.8781176942394515'
70: x2='1.8131771832680328'
71: x2='8.51510516368483'
72: x2='1.8170209479196753'
73: x2='2.626679333004775'
74: x2='1.8294743180841428'
75: x2='0.8789926850879171'
76: x2='7.455725925324422'
77: x2='0.8809565356261428'
78: x2='1.6053381022272417'
79: x2='0.8841024831757516'
80: x2='6.4760111985869555'
81: x2='0.8815485759322544'
82: x2='2.9108105629064673'
83: x2='0.8779734415360535'
84: x2='8.128715354818647'
85: x2='0.8790798158457308'
86: x2='7.967867045901759'
87: x2='0.8802463601363142'
88: x2='5.2640028638089085'
89: x2='5.195427544289726'
90: x2='2.418156689429898'
91: x2='6.1977683558926495'
92: x2='2.4284595598385144'
93: x2='13.680167644344202'
94: x2='2.3952311391632435'
95: x2='3.978729335947169'
96: x2='4.209957841825027'
97: x2='3.9975942416509023'
98: x2='5.060537848467387'
99: x2='4.0131313150386285'
100: x2='14.749684598970969'
101: x2='0.8745108067498703'
102: x2='7.017748185514565'
103: x2='13.622737685576801'
104: x2='0.8772047201395838'
105: x2='14.967615889688313'
106: x2='12.73050222181206'
107: x2='4.227671743106419'
108: x2='4.984309065630867'
109: x2='0.4170715662148916'
110: x2='2.393373072038628'
111: x2='4.434953383146359'
112: x2='2.5372783436519626'
113: x2='6.794890406752171'
114: x2='0.877897294469428'
115: x2='0.8782613022586339'
116: x2='0.44222456889410844'
117: x2='1.744506144581703'
118: x2='0.6061078796376396'
119: x2='11.828713031239833'
120: x2='0.6111487451821224'
121: x2='6.3553044156666205'
122: x2='0.605345506772802'
123: x2='10.838723146229027'
124: x2='3.812003992883928'
125: x2='7.6291632435180485'
126: x2='3.8039056939365157'
127: x2='0.7485878012945174'
128: x2='10.262565613852116'
129: x2='0.7735691184129528'
130: x2='14.318125532664347'
131: x2='0.777793576554161'
132: x2='9.463330975435683'
133: x2='0.747967913630293'
134: x2='5.115509094354041'
135: x2='1.9983967415031134'
136: x2='5.105046923665299'
137: x2='13.487744573106966'
138: x2='5.114180353855468'
139: x2='0.17411127477833077'
140: x2='5.096686744950805'
141: x2='0.7564178171688879'
142: x2='6.977164710112703'
143: x2='1.8379193678509647'
144: x2='14.445657885708924'
145: x2='1.8554748574864393'
146: x2='2.600221223702034'
147: x2='5.5216589086335315'
148: x2='1.845401656714758'
149: x2='0.7540719083676573'
150: x2='5.834567766801171'
151: x2='9.717204293279012'
152: x2='6.390229571047366'
153: x2='1.2450829883624182'
154: x2='6.400728743286585'
155: x2='9.507106911328572'
156: x2='6.399942184438377'
157: x2='5.033271841691291'
158: x2='5.370465634383455'
159: x2='5.04434581307399'
160: x2='5.015400170864164'
161: x2='5.032424330126238'
162: x2='9.022051614942873'
163: x2='5.032260644479087'
164: x2='5.507652204596817'
165: x2='8.548940484554356'
166: x2='5.369950083362145'
167: x2='14.004147690458373'
168: x2='14.660004301360999'
169: x2='5.454578195092698'
170: x2='8.376884944168822'
171: x2='5.45683448992074'
172: x2='6.9816806057018175'
173: x2='2.4175112153709972'
174: x2='5.4029653976042225'
175: x2='8.4026659781261'
176: x2='2.419381858699223'
177: x2='7.970664927143687'
178: x2='4.9888174375367464'
179: x2='5.537253853379363'
180: x2='5.032127432891606'
