CPUtime,Incumbent Runs
0.3055640000000004,2
0.3240199999999973,3
0.3500199999999971,4
0.6407039999999995,5
0.6776330000000002,6
0.8401859999999992,7
0.8859870000000001,8
1.1065000000000005,9
1.165930999999997,10
1.3972620000000013,11
1.4611979999999996,12
1.6527789999999989,13
1.726033000000001,14
1.9417680000000033,15
2.0272620000000003,16
2.317654000000001,17
2.4126730000000016,18
2.6487300000000005,19
2.7576099999999997,20
3.041838000000002,21
3.1584369999999993,22
3.4336689999999983,23
3.558402000000001,24
3.849128999999998,25
3.9823210000000024,26
4.267866999999999,27
4.409605000000003,28
4.738343,29
4.892848999999998,30
5.200433999999998,31
5.360533,32
5.736964,33
5.9106590000000025,34
6.276240999999999,35
6.453758999999998,36
6.8139189999999985,37
6.993640000000003,38
7.366235999999997,39
7.559401000000001,40
7.941562999999999,41
8.139369000000002,42
8.529136999999999,43
8.740348999999998,44
