CPUtime,Incumbent Runs
0.5765720000000272,2
0.6217930000000251,3
0.6721030000000212,4
1.1692010000000153,5
1.2337860000000092,6
1.62520200000003,7
1.7099830000000225,8
2.2537270000000262,9
2.3524390000000324,10
2.789861000000002,11
2.9076920000000257,12
3.3943390000000306,13
3.535111999999998,14
4.063461000000018,15
4.22350800000001,16
4.855604,17
4.934669000000014,18
5.4598100000000045,19
5.649793000000017,20
6.176391000000024,21
6.30107000000001,22
6.833877999999999,23
7.048299000000014,24
7.609421999999995,25
7.8458320000000015,26
8.49942200000001,27
8.75194700000003,28
9.39113900000001,29
9.655464999999992,30
10.298158,31
10.582623000000012,32
11.378229000000005,33
11.673854000000006,34
12.41665500000002,35
12.74167300000002,36
13.452871000000016,37
13.757684000000012,38
14.467895000000027,39
14.809330000000017,40
15.533994000000007,41
15.88987400000002,42
16.628993000000037,43
17.004151000000036,44
