CPUtime,Incumbent Runs
0.40793899999999894,2
0.4390470000000022,3
0.4742090000000019,4
0.8154190000000057,5
0.8582830000000143,6
1.1298160000000053,7
1.1872039999999942,8
1.5737840000000034,9
1.641017000000005,10
1.9994750000000039,11
2.082055000000011,12
2.432325000000006,13
2.5275000000000034,14
2.903880000000001,15
3.004958000000002,16
3.459710000000001,17
3.587381999999991,18
3.9601480000000038,19
4.093429,20
4.523246,21
4.6662840000000045,22
5.0843280000000135,23
5.233335000000011,24
5.6546400000000006,25
5.830566000000005,26
6.279824000000005,27
6.461919000000009,28
6.920500000000004,29
7.1160660000000036,30
7.606741999999997,31
7.819766000000001,32
8.393337000000002,33
8.603730999999996,34
9.131804000000002,35
9.355946000000003,36
9.906157000000007,37
10.151264999999995,38
10.71165099999999,39
10.97027,40
11.531059000000013,41
11.788291999999998,42
12.351901999999995,43
12.622853000000006,44
