CPUtime,Incumbent Runs
0.41946400000000494,2
0.4622980000000041,3
0.5117199999999968,4
0.9418189999999811,5
1.0061450000000036,6
1.3778520000000185,7
1.4578470000000152,8
1.9544080000000008,9
2.054144000000008,10
2.484878000000009,11
2.5931679999999915,12
2.9939190000000053,13
3.1161479999999813,14
3.559913999999992,15
3.7125139999999988,16
4.290852000000001,17
4.443799999999982,18
4.941338999999999,19
5.118837000000013,20
5.635676999999987,21
5.823233000000016,22
6.383823000000007,23
6.586336000000017,24
7.140630000000016,25
7.354523,26
7.943847000000005,27
8.185439000000002,28
8.774743999999998,29
9.023408999999987,30
9.648690000000016,31
9.908679000000006,32
10.641167999999993,33
10.925568999999996,34
11.585589999999996,35
11.882721000000004,36
12.540076999999997,37
12.847825999999998,38
13.513058999999998,39
13.826863000000003,40
14.532021999999984,41
14.867741999999993,42
15.551375000000007,43
15.902382000000017,44
