CPUtime,Incumbent Runs
0.32406999999999897,2
0.3553439999999952,3
0.38293099999999924,4
0.6903599999999983,5
0.7301560000000009,6
0.9842050000000029,7
1.0337469999999982,8
1.3937139999999957,9
1.4532469999999975,10
1.7426499999999976,11
1.810842000000001,12
2.1271449999999987,13
2.2094670000000036,14
2.509982000000001,15
2.6023159999999947,16
2.962010999999997,17
3.0611549999999994,18
3.4366330000000005,19
3.552722000000003,20
3.885612999999992,21
4.013154,22
4.349291999999998,23
4.489187999999999,24
4.888915999999995,25
5.0291719999999955,26
5.428148999999998,27
5.582360000000001,28
5.985499000000004,29
6.142223999999999,30
6.558796000000001,31
6.728313,32
7.201718,33
7.392889000000004,34
7.8539069999999995,35
8.050944999999999,36
8.568621999999998,37
8.771012999999996,38
9.24615,39
9.455429000000002,40
9.924211,41
10.148432999999997,42
10.658925999999994,43
10.889980000000001,44
