Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,64,28.4449,0,10.0,-1,0.001,1.0,1,28.4449,0,0.001,SAT,Returned from portfolio; configuration: 4315064 my performance: ,0.032,
2,1,6,85.8652,0,10.0,-1,0.001,1.0,1,85.8652,1,0.002,SAT,Returned from portfolio; configuration: 4314367 my performance: ,0.029,
3,2,64,28.4449,0,10.0,-1,0.001,1.0,1,28.4449,1,0.003,SAT,Returned from portfolio; configuration: 4315064 my performance: ,0.032,
4,2,6,51.7922,0,10.0,-1,0.001,1.0,1,51.7922,1,0.004,SAT,Returned from portfolio; configuration: 4314367 my performance: ,0.029,
5,2,74,8.07,0,10.0,-1,0.001,1.0,1,8.07,1,0.005,SAT,Returned from portfolio; configuration: 4315064 my performance: ,0.028,
6,3,6,51.7922,0,10.0,-1,0.001,1.0,1,51.7922,1,0.006,SAT,Returned from portfolio; configuration: 4314367 my performance: ,0.029,
7,3,64,28.4449,0,10.0,-1,0.001,1.0,1,28.4449,1,0.007,SAT,Returned from portfolio; configuration: 4345322 my performance: ,0.028,
8,3,74,8.07,0,10.0,-1,0.001,1.0,1,8.07,1,0.008,SAT,Returned from portfolio; configuration: 4345322 my performance: ,0.029,
9,2,47,19.5479,0,10.0,-1,0.001,1.0,1,19.5479,1,0.009000000000000001,SAT,Returned from portfolio; configuration: 4315064 my performance: ,0.028,
10,4,74,8.07,0,10.0,-1,0.001,1.0,1,8.07,1,0.010000000000000002,SAT,Returned from portfolio; configuration: 4315064 my performance: ,0.028,
11,4,6,51.7922,0,10.0,-1,0.001,1.0,1,51.7922,1,0.011000000000000003,SAT,Returned from portfolio; configuration: 4314367 my performance: ,0.029,
12,4,64,28.4449,0,10.0,-1,0.001,1.0,1,28.4449,1,0.012000000000000004,SAT,Returned from portfolio; configuration: 4315064 my performance: ,0.032,
13,4,47,19.5479,0,10.0,-1,0.001,1.0,1,19.5479,1,0.013000000000000005,SAT,Returned from portfolio; configuration: 4315064 my performance: ,0.028,
14,2,71,11.6838,0,10.0,-1,0.001,1.0,1,11.6838,2,0.014000000000000005,SAT,Returned from portfolio; configuration: 4315064 my performance: ,0.029,
15,5,74,8.07,0,10.0,-1,0.001,1.0,1,8.07,2,0.015000000000000006,SAT,Returned from portfolio; configuration: 4315064 my performance: ,0.028,
16,5,71,11.6838,0,10.0,-1,0.001,1.0,1,11.6838,2,0.016000000000000007,SAT,Returned from portfolio; configuration: 4315064 my performance: ,0.029,
17,5,64,28.4449,0,10.0,-1,0.001,1.0,1,28.4449,2,0.017000000000000008,SAT,Returned from portfolio; configuration: 4315064 my performance: ,0.032,
18,5,6,51.7922,0,10.0,-1,0.001,1.0,1,51.7922,2,0.01800000000000001,SAT,Returned from portfolio; configuration: 4314367 my performance: ,0.029,
19,5,47,19.5479,0,10.0,-1,0.001,1.0,1,19.5479,2,0.01900000000000001,SAT,Returned from portfolio; configuration: 4315064 my performance: ,0.028,
20,2,3,82.1055,0,10.0,-1,0.001,1.0,1,82.1055,2,0.02000000000000001,SAT,Returned from portfolio; configuration: 4314367 my performance: ,0.029,
21,3,71,11.6838,0,10.0,-1,0.001,1.0,1,11.6838,2,0.02100000000000001,SAT,Returned from portfolio; configuration: 4375480 my performance: ,0.029,
22,3,3,82.1055,0,10.0,-1,0.001,1.0,1,82.1055,2,0.022000000000000013,SAT,Returned from portfolio; configuration: 4314367 my performance: ,0.029,
23,3,47,19.5479,0,10.0,-1,0.001,1.0,1,19.5479,2,0.023000000000000013,SAT,Returned from portfolio; configuration: 4375480 my performance: ,0.029,
24,2,13,14.1014,0,10.0,-1,0.001,1.0,1,14.1014,3,0.024000000000000014,SAT,Returned from portfolio; configuration: 4314367 my performance: ,0.029,
25,6,3,82.1055,0,10.0,-1,0.001,1.0,1,82.1055,3,0.025000000000000015,SAT,Returned from portfolio; configuration: 4314367 my performance: ,0.029,
26,6,71,11.6838,0,10.0,-1,0.001,1.0,1,11.6838,3,0.026000000000000016,SAT,Returned from portfolio; configuration: 4394668 my performance: ,0.028,
27,6,6,51.7922,0,10.0,-1,0.001,1.0,1,51.7922,3,0.027000000000000017,SAT,Returned from portfolio; configuration: 4314367 my performance: ,0.029,
28,6,64,28.4449,0,10.0,-1,0.001,1.0,1,28.4449,3,0.028000000000000018,SAT,Returned from portfolio; configuration: 4394668 my performance: ,0.029,
29,6,13,14.1014,0,10.0,-1,0.001,1.0,1,14.1014,3,0.02900000000000002,SAT,Returned from portfolio; configuration: 4314367 my performance: ,0.029,
30,6,47,19.5479,0,10.0,-1,0.001,1.0,1,19.5479,3,0.03000000000000002,SAT,Returned from portfolio; configuration: 4394668 my performance: ,0.029,
31,6,74,8.07,0,10.0,-1,0.001,1.0,1,8.07,3,0.03100000000000002,SAT,Returned from portfolio; configuration: 4394668 my performance: ,0.028,
32,2,20,13.8345,0,10.0,-1,0.001,1.0,1,13.8345,3,0.03200000000000002,SAT,Returned from portfolio; configuration: 4314367 my performance: ,0.029,
33,7,47,19.5479,0,10.0,-1,0.001,1.0,1,19.5479,3,0.03300000000000002,SAT,Returned from portfolio; configuration: 4315064 my performance: ,0.028,
34,7,6,51.7922,0,10.0,-1,0.001,1.0,1,51.7922,3,0.03400000000000002,SAT,Returned from portfolio; configuration: 4314367 my performance: ,0.029,
35,7,64,28.4449,0,10.0,-1,0.001,1.0,1,28.4449,3,0.035000000000000024,SAT,Returned from portfolio; configuration: 4315064 my performance: ,0.032,
36,7,20,13.8345,0,10.0,-1,0.001,1.0,1,13.8345,3,0.036000000000000025,SAT,Returned from portfolio; configuration: 4314367 my performance: ,0.029,
37,7,13,14.1014,0,10.0,-1,0.001,1.0,1,14.1014,3,0.037000000000000026,SAT,Returned from portfolio; configuration: 4314367 my performance: ,0.029,
38,7,74,8.07,0,10.0,-1,0.001,1.0,1,8.07,3,0.03800000000000003,SAT,Returned from portfolio; configuration: 4315064 my performance: ,0.028,
39,7,3,82.1055,0,10.0,-1,0.001,1.0,1,82.1055,3,0.03900000000000003,SAT,Returned from portfolio; configuration: 4314367 my performance: ,0.029,
40,7,71,11.6838,0,10.0,-1,0.001,1.0,1,11.6838,3,0.04000000000000003,SAT,Returned from portfolio; configuration: 4315064 my performance: ,0.029,
41,2,5,60.9936,0,10.0,-1,0.001,1.0,1,60.9936,4,0.04100000000000003,SAT,Returned from portfolio; configuration: 4314367 my performance: ,0.029,
