CPUtime,Incumbent Runs
0.330485000000003,2
0.3602559999999997,3
0.3911510000000007,4
0.7507079999999959,5
0.7915350000000032,6
1.0752740000000003,7
1.1286830000000023,8
1.5155209999999997,9
1.5788900000000083,10
1.8943870000000018,11
1.9742550000000065,12
2.308455000000002,13
2.4009649999999922,14
2.7725399999999993,15
2.8766359999999978,16
3.317896999999995,17
3.4243159999999975,18
3.816693000000008,19
3.9383049999999926,20
4.331156,21
4.465007000000007,22
4.887944999999995,23
5.032842999999993,24
5.450159000000006,25
5.615929000000001,26
6.043859000000005,27
6.219967000000004,28
6.703431999999999,29
6.889145000000006,30
7.366464999999998,31
7.562125000000002,32
8.113039999999991,33
8.329316999999996,34
8.847563999999998,35
9.06606,36
9.584978999999997,37
9.81454200000001,38
10.296954000000007,39
10.528223000000004,40
11.051961999999996,41
11.289718999999998,42
11.833333000000003,43
12.093802000000004,44
