CPUtime,Incumbent Runs
0.5322009999999864,2
0.5843599999999753,3
0.6498219999999719,4
1.168233999999984,5
1.2512009999999805,6
1.6766939999999693,7
1.7759209999999825,8
2.34915399999997,9
2.4083420000000046,10
2.9111429999999814,11
2.974213999999961,12
3.4919229999999573,13
3.6519489999999735,14
4.187742999999983,15
4.371914999999973,16
5.025196999999963,17
5.224045999999987,18
5.812648999999993,19
6.033641999999986,20
6.650893999999994,21
6.885152999999974,22
7.515063999999967,23
7.785457999999977,24
8.429767999999967,25
8.714106999999984,26
9.409871999999979,27
9.717289999999963,28
10.396680999999973,29
10.712278999999967,30
11.425109999999961,31
11.760209000000003,32
12.654547999999977,33
13.010997000000003,34
13.758312999999987,35
14.128514999999965,36
14.906597999999974,37
15.306441999999976,38
16.098861,39
16.397963999999973,40
17.20071299999998,41
17.62491499999996,42
18.45598099999998,43
18.90042999999997,44
