CPUtime,Incumbent Runs
0.5407920000000104,2
0.5877910000000099,3
0.643574000000001,4
0.7135950000000264,5
0.7800170000000151,6
1.3229430000000093,7
1.4113189999999918,8
1.8696140000000128,9
1.973635999999999,10
2.5212090000000273,11
2.62539799999999,12
3.073728000000017,13
3.2194970000000183,14
3.720527000000004,15
3.8808150000000126,16
4.41634700000003,17
4.588999999999999,18
5.208528000000001,19
5.3995960000000025,20
5.942847000000029,21
6.1515190000000075,22
6.737382000000025,23
6.956087999999994,24
7.549723999999998,25
7.80440200000001,26
8.39355900000001,27
8.655812999999995,28
9.283040999999997,29
9.56452200000001,30
10.206845000000015,31
10.510929000000004,32
11.168103000000002,33
11.490814000000029,34
12.33776499999999,35
12.684195000000017,36
13.407016999999996,37
13.744684000000007,38
14.456793000000005,39
14.80947900000001,40
15.584762000000012,41
15.971113000000031,42
16.742400000000004,43
17.143519000000026,44
