CPUtime,Incumbent Runs
0.45374499999999784,2
0.5012880000000024,3
0.5451610000000073,4
0.9967250000000121,5
1.0548660000000183,6
1.440716000000009,7
1.5144180000000063,8
2.035961999999998,9
2.1229880000000065,10
2.5691400000000044,11
2.675288000000009,12
3.1049070000000114,13
3.2251910000000095,14
3.646808000000007,15
3.7786820000000034,16
4.319022000000004,17
4.4750780000000105,18
4.965559000000013,19
5.128013999999993,20
5.622039000000001,21
5.80256,22
6.292111000000006,23
6.4834590000000105,24
7.043824999999998,25
7.259380000000007,26
7.812116000000017,27
8.036219000000003,28
8.615133,29
8.857702000000018,30
9.427531000000016,31
9.688671,32
10.425021000000015,33
10.698822000000007,34
11.326524000000006,35
11.607569000000012,36
12.235205000000008,37
12.537993999999998,38
13.188894000000005,39
13.50839400000001,40
14.1704,41
14.500485999999995,42
15.179005000000018,43
15.506513000000012,44
