CPUtime,Incumbent Runs
0.4337030000000084,2
0.4661080000000055,3
0.5037340000000086,4
0.9132870000000111,5
0.9623289999999969,6
1.2743090000000024,7
1.3381969999999939,8
1.742480999999998,9
1.8193020000000075,10
2.181528,11
2.2762670000000043,12
2.6790790000000015,13
2.7848979999999983,14
3.2037070000000085,15
3.320318999999998,16
3.854257000000004,17
3.9869429999999966,18
4.41588800000001,19
4.558827000000008,20
5.117221000000001,21
5.272976000000014,22
5.727935000000002,23
5.893016000000003,24
6.392175000000009,25
6.566367999999997,26
7.0580070000000035,27
7.242704000000003,28
7.757499999999993,29
7.963809000000012,30
8.498859999999993,31
8.723306000000008,32
9.380966,33
9.609961000000013,34
10.131494000000004,35
10.371324000000001,36
10.940272000000007,37
11.196631999999994,38
11.796053,39
12.061677000000003,40
12.616885999999994,41
12.89250100000001,42
13.518973000000003,43
13.803639000000004,44
