Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,27,19.5111,0,10.0,-1,0.001,1.0,1,19.5111,0,0.001,SAT,Returned from portfolio; configuration: 6882327 my performance: ,0.029,
2,1,10,14.2798,0,10.0,-1,0.001,1.0,1,14.2798,1,0.002,SAT,Returned from portfolio; configuration: 6882610 my performance: ,0.029,
3,2,10,14.2798,0,10.0,-1,0.001,1.0,1,14.2798,1,0.003,SAT,Returned from portfolio; configuration: 6882610 my performance: ,0.029,
4,2,27,19.5111,0,10.0,-1,0.001,1.0,1,19.5111,1,0.004,SAT,Returned from portfolio; configuration: 6882327 my performance: ,0.029,
5,1,8,23.5889,0,10.0,-1,0.001,1.0,1,23.5889,1,0.005,SAT,Returned from portfolio; configuration: 6882610 my performance: ,0.03,
6,3,8,23.5889,0,10.0,-1,0.001,1.0,1,23.5889,1,0.006,SAT,Returned from portfolio; configuration: 6882610 my performance: ,0.03,
7,3,27,19.5111,0,10.0,-1,0.001,1.0,1,19.5111,1,0.007,SAT,Returned from portfolio; configuration: 6882327 my performance: ,0.029,
8,3,10,14.2798,0,10.0,-1,0.001,1.0,1,14.2798,1,0.008,SAT,Returned from portfolio; configuration: 6882610 my performance: ,0.029,
9,1,44,3.9016,0,10.0,-1,0.001,1.0,1,3.9016,1,0.009000000000000001,SAT,Returned from portfolio; configuration: 6882803 my performance: ,0.028,
10,4,10,14.2798,0,10.0,-1,0.001,1.0,1,14.2798,1,0.010000000000000002,SAT,Returned from portfolio; configuration: 6882610 my performance: ,0.029,
11,4,44,3.9016,0,10.0,-1,0.001,1.0,1,3.9016,1,0.011000000000000003,SAT,Returned from portfolio; configuration: 6882803 my performance: ,0.028,
12,4,27,19.5111,0,10.0,-1,0.001,1.0,1,19.5111,1,0.012000000000000004,SAT,Returned from portfolio; configuration: 6882327 my performance: ,0.029,
13,4,8,23.5889,0,10.0,-1,0.001,1.0,1,23.5889,1,0.013000000000000005,SAT,Returned from portfolio; configuration: 6882610 my performance: ,0.03,
14,1,47,9.0382,0,10.0,-1,0.001,1.0,1,9.0382,2,0.014000000000000005,SAT,Returned from portfolio; configuration: 6882803 my performance: ,0.029,
15,5,44,3.9016,0,10.0,-1,0.001,1.0,1,3.9016,2,0.015000000000000006,SAT,Returned from portfolio; configuration: 6929580 my performance: ,0.029,
16,5,8,23.5889,0,10.0,-1,0.001,1.0,1,23.5889,2,0.016000000000000007,SAT,Returned from portfolio; configuration: 6882610 my performance: ,0.03,
17,5,47,9.0382,0,10.0,-1,0.001,1.0,1,9.0382,2,0.017000000000000008,SAT,Returned from portfolio; configuration: 6929580 my performance: ,0.029,
18,5,27,19.5111,0,10.0,-1,0.001,1.0,1,19.5111,2,0.01800000000000001,SAT,Returned from portfolio; configuration: 6882327 my performance: ,0.029,
19,5,10,14.2798,0,10.0,-1,0.001,1.0,1,14.2798,2,0.01900000000000001,SAT,Returned from portfolio; configuration: 6882610 my performance: ,0.029,
20,1,25,20.3199,0,10.0,-1,0.001,1.0,1,20.3199,2,0.02000000000000001,SAT,Returned from portfolio; configuration: 6882327 my performance: ,0.029,
21,3,25,20.3199,0,10.0,-1,0.001,1.0,1,20.3199,2,0.02100000000000001,SAT,Returned from portfolio; configuration: 6882327 my performance: ,0.029,
22,3,47,9.0382,0,10.0,-1,0.001,1.0,1,9.0382,2,0.022000000000000013,SAT,Returned from portfolio; configuration: 6882803 my performance: ,0.029,
23,3,44,3.9016,0,10.0,-1,0.001,1.0,1,3.9016,2,0.023000000000000013,SAT,Returned from portfolio; configuration: 6882803 my performance: ,0.028,
24,1,19,11.6765,0,10.0,-1,0.001,1.0,1,11.6765,3,0.024000000000000014,SAT,Returned from portfolio; configuration: 6882610 my performance: ,0.028,
25,6,27,19.5111,0,10.0,-1,0.001,1.0,1,19.5111,3,0.025000000000000015,SAT,Returned from portfolio; configuration: 6882327 my performance: ,0.029,
26,6,19,11.6765,0,10.0,-1,0.001,1.0,1,11.6765,3,0.026000000000000016,SAT,Returned from portfolio; configuration: 6882610 my performance: ,0.028,
27,6,8,23.5889,0,10.0,-1,0.001,1.0,1,23.5889,3,0.027000000000000017,SAT,Returned from portfolio; configuration: 6882610 my performance: ,0.03,
28,6,44,3.9016,0,10.0,-1,0.001,1.0,1,3.9016,3,0.028000000000000018,SAT,Returned from portfolio; configuration: 6960902 my performance: ,0.029,
29,6,25,20.3199,0,10.0,-1,0.001,1.0,1,20.3199,3,0.02900000000000002,SAT,Returned from portfolio; configuration: 6882327 my performance: ,0.029,
30,6,47,9.0382,0,10.0,-1,0.001,1.0,1,9.0382,3,0.03000000000000002,SAT,Returned from portfolio; configuration: 6960902 my performance: ,0.028,
31,6,10,14.2798,0,10.0,-1,0.001,1.0,1,14.2798,3,0.03100000000000002,SAT,Returned from portfolio; configuration: 6882610 my performance: ,0.029,
32,1,73,1.5576,0,10.0,-1,0.001,1.0,1,1.5576,3,0.03200000000000002,SAT,Returned from portfolio; configuration: 6882803 my performance: ,0.028,
33,7,73,1.5576,0,10.0,-1,0.001,1.0,1,1.5576,3,0.03300000000000002,SAT,Returned from portfolio; configuration: 6882803 my performance: ,0.028,
34,7,8,23.5889,0,10.0,-1,0.001,1.0,1,23.5889,3,0.03400000000000002,SAT,Returned from portfolio; configuration: 6973388 my performance: ,0.028,
35,7,25,20.3199,0,10.0,-1,0.001,1.0,1,20.3199,3,0.035000000000000024,SAT,Returned from portfolio; configuration: 6882327 my performance: ,0.029,
36,7,47,9.0382,0,10.0,-1,0.001,1.0,1,9.0382,3,0.036000000000000025,SAT,Returned from portfolio; configuration: 6882803 my performance: ,0.029,
37,7,44,3.9016,0,10.0,-1,0.001,1.0,1,3.9016,3,0.037000000000000026,SAT,Returned from portfolio; configuration: 6882803 my performance: ,0.028,
38,7,10,14.2798,0,10.0,-1,0.001,1.0,1,14.2798,3,0.03800000000000003,SAT,Returned from portfolio; configuration: 6973388 my performance: ,0.029,
39,7,19,11.6765,0,10.0,-1,0.001,1.0,1,11.6765,3,0.03900000000000003,SAT,Returned from portfolio; configuration: 6882610 my performance: ,0.028,
40,7,27,19.5111,0,10.0,-1,0.001,1.0,1,19.5111,3,0.04000000000000003,SAT,Returned from portfolio; configuration: 6882327 my performance: ,0.029,
41,1,66,12.5801,0,10.0,-1,0.001,1.0,1,12.5801,4,0.04100000000000003,SAT,Returned from portfolio; configuration: 6882803 my performance: ,0.03,
42,8,73,1.5576,0,10.0,-1,0.001,1.0,1,1.5576,4,0.04200000000000003,SAT,Returned from portfolio; configuration: 6882803 my performance: ,0.028,
43,8,27,19.5111,0,10.0,-1,0.001,1.0,1,19.5111,4,0.04300000000000003,SAT,Returned from portfolio; configuration: 6882327 my performance: ,0.029,
44,8,19,11.6765,0,10.0,-1,0.001,1.0,1,11.6765,4,0.04400000000000003,SAT,Returned from portfolio; configuration: 6882610 my performance: ,0.028,
45,8,10,14.2798,0,10.0,-1,0.001,1.0,1,14.2798,4,0.04500000000000003,SAT,Returned from portfolio; configuration: 6984754 my performance: ,0.029,
46,8,66,12.5801,0,10.0,-1,0.001,1.0,1,12.5801,4,0.046000000000000034,SAT,Returned from portfolio; configuration: 6882803 my performance: ,0.03,
47,8,47,9.0382,0,10.0,-1,0.001,1.0,1,9.0382,4,0.047000000000000035,SAT,Returned from portfolio; configuration: 6882803 my performance: ,0.029,
48,8,25,20.3199,0,10.0,-1,0.001,1.0,1,20.3199,4,0.048000000000000036,SAT,Returned from portfolio; configuration: 6882327 my performance: ,0.029,
49,8,8,23.5889,0,10.0,-1,0.001,1.0,1,23.5889,4,0.04900000000000004,SAT,Returned from portfolio; configuration: 6984754 my performance: ,0.028,
50,8,44,3.9016,0,10.0,-1,0.001,1.0,1,3.9016,4,0.05000000000000004,SAT,Returned from portfolio; configuration: 6882803 my performance: ,0.028,
51,1,21,16.1317,0,10.0,-1,0.001,1.0,1,16.1317,4,0.05100000000000004,SAT,Returned from portfolio; configuration: 6881630 my performance: ,0.028,
