CPUtime,Incumbent Runs
0.5148159999999962,2
0.5757490000000018,3
0.6347810000000038,4
1.1459540000000175,5
1.2232079999999996,6
1.6461850000000027,7
1.744856999999996,8
2.388052000000016,9
2.5055489999999736,10
3.026769999999999,11
3.161800999999997,12
3.6973470000000077,13
3.852357999999981,14
4.408846000000011,15
4.578037999999992,16
5.323556999999994,17
5.501643000000001,18
6.073977999999983,19
6.28768199999999,20
6.892397000000017,21
7.125798000000003,22
7.780579000000017,23
8.023104999999987,24
8.636529999999993,25
8.724723000000012,26
9.394672999999983,27
9.669670999999994,28
10.330093000000005,29
10.627643999999975,30
11.300501999999994,31
11.604599000000007,32
12.384299999999996,33
12.71748500000001,34
13.44625499999998,35
13.80068,36
14.581707000000023,37
14.958382,38
15.710822000000007,39
16.123014000000012,40
16.922955,41
17.316507,42
18.11656099999999,43
18.53903199999999,44
